name,score,subtitle,reviewUploadedAt,address,city,state,lat,lng,reviewUrl,googlePlaceUrl,directionsUrl,sourceType,confidence,notes,slug,thumbnailFilename,thumbnailPath,videoFilename,videoPath,status
QP Greek Food with a kick,9.1,Phil ate the Half Broasted Chicken (Greek Style),2023-12-29,830 N Roselle Rd,Hoffman Estates,IL,42.0436745,-88.0801123,https://www.instagram.com/reel/C1cBCs9OBei/,https://www.google.com/maps/search/?api=1&query=QP%20Greek%20Food%20with%20a%20kick%2C%20830%20N%20Roselle%20Rd%2C%20Hoffman%20Estates%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=830%20N%20Roselle%20Rd%2C%20Hoffman%20Estates%2C%20IL%2060169%2C%20USA,structured-data,medium,,qp-greek-food-with-a-kick,qp-greek-food-with-a-kick.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/qp-greek-food-with-a-kick.jpg,qp-greek-food-with-a-kick.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/qp-greek-food-with-a-kick.mp4,success
Falafil Hut,8.9,Phil got the Double spicy gyro burger.,2023-08-30,1027 W Golf Rd,Hoffman Estates,IL,42.0473431,-88.105053,https://www.instagram.com/reel/CwkWhH2Iok8/,https://www.google.com/maps/search/?api=1&query=Falafil%20Hut%2C%201027%20W%20Golf%20Rd%2C%20Hoffman%20Estates%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=1027%20W%20Golf%20Rd%2C%20Hoffman%20Estates%2C%20IL%2060169%2C%20USA,structured-data,medium,,falafil-hut,falafil-hut.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/falafil-hut.jpg,falafil-hut.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/falafil-hut.mp4,success
The Assembly Bar,7.8,Phil ate the Bionic Burger.,2023-09-18,2570 Hassell Rd,Hoffman Estates,IL,42.0632632,-88.1439688,https://www.instagram.com/reel/CxVRj97uhC3/,https://www.google.com/maps/search/?api=1&query=The%20Assembly%20Bar%2C%202570%20Hassell%20Rd%2C%20Hoffman%20Estates%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=2570%20Hassell%20Rd%2C%20Hoffman%20Estates%2C%20IL%2060169%2C%20USA,structured-data,medium,,the-assembly-bar,the-assembly-bar.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/the-assembly-bar.jpg,the-assembly-bar.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/the-assembly-bar.mp4,success
Pizza Pushers,8.1,Phil ate the Winston Wolf pizza.,2024-04-01,644 S Main St,Algonquin,IL,42.1631458,-88.2962489,https://www.instagram.com/super_goode/reel/C5N9PfTrtzV/,https://www.google.com/maps/search/?api=1&query=Pizza%20Pushers%2C%20644%20S%20Main%20St%2C%20Algonquin%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=644%20S%20Main%20St%2C%20Algonquin%2C%20IL%2060102%2C%20USA,structured-data,medium,,pizza-pushers,pizza-pushers.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/pizza-pushers.jpg,pizza-pushers.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/pizza-pushers.mp4,success
Nash Bros,8.5,Phil ate the Nashville Hot Chicken Sandy.,2023-09-22,9353 N Milwaukee Ave,Niles,IL,42.0506128,-87.833487,https://www.instagram.com/reel/CxfjRGnOQIv/,https://www.google.com/maps/search/?api=1&query=Nash%20Bros%2C%209353%20N%20Milwaukee%20Ave%2C%20Niles%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=9353%20N%20Milwaukee%20Ave%2C%20Niles%2C%20IL%2060714%2C%20USA,structured-data,medium,,nash-bros,nash-bros.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/nash-bros.jpg,nash-bros.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/nash-bros.mp4,success
Franks for the Memories,8.6,Phil ate the suicide wings.,2023-12-01,645 E Hawley St,Mundelein,IL,42.2707952,-87.9941426,https://www.instagram.com/reel/C0T8A9cre0k/,https://www.google.com/maps/search/?api=1&query=Franks%20for%20the%20Memories%2C%20645%20E%20Hawley%20St%2C%20Mundelein%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=645%20E%20Hawley%20St%2C%20Mundelein%2C%20IL%2060060%2C%20USA,structured-data,medium,,franks-for-the-memories,franks-for-the-memories.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/franks-for-the-memories.jpg,franks-for-the-memories.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/franks-for-the-memories.mp4,success
JJ Fish & Chicken,8.9,Phil ate the 3Peat Philly Sandwich.,2023-11-20,917 Roosevelt Rd,Maywood,IL,41.8644883,-87.844059,https://www.instagram.com/reel/Cz3mdLcrthQ/,https://www.google.com/maps/search/?api=1&query=JJ%20Fish%20%26%20Chicken%2C%20917%20Roosevelt%20Rd%2C%20Maywood%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=917%20Roosevelt%20Rd%2C%20Maywood%2C%20IL%2060153%2C%20USA,structured-data,medium,,jj-fish-and-chicken,jj-fish-and-chicken.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/jj-fish-and-chicken.jpg,jj-fish-and-chicken.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/jj-fish-and-chicken.mp4,success
Big Boss Spicy Fried Chicken,8.2,Phil ate the Big Boss Sandwich,2024-01-29,2520 S Halsted St,Chicago,IL,41.8464821,-87.6467369,https://www.instagram.com/reel/C2r17meLYfW/,https://www.google.com/maps/search/?api=1&query=Big%20Boss%20Spicy%20Fried%20Chicken%2C%202520%20S%20Halsted%20St%2C%20Chicago%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=2520%20S%20Halsted%20St%2C%20Chicago%2C%20IL%2060608%2C%20USA,structured-data,medium,,big-boss-spicy-fried-chicken,big-boss-spicy-fried-chicken.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/big-boss-spicy-fried-chicken.jpg,big-boss-spicy-fried-chicken.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/big-boss-spicy-fried-chicken.mp4,success
Cubano Bros,8.4,Phil ate the orignal Cubano sandwich,2023-09-04,571 Landmeier Rd,Elk Grove Village,IL,42.0150902,-87.9802542,https://www.instagram.com/reel/CwxOb6auXfN/,https://www.google.com/maps/search/?api=1&query=Cubano%20Bros%2C%20571%20Landmeier%20Rd%2C%20Elk%20Grove%20Village%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=571%20Landmeier%20Rd%2C%20Elk%20Grove%20Village%2C%20IL%2060007%2C%20USA,structured-data,medium,,cubano-bros,cubano-bros.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/cubano-bros.jpg,cubano-bros.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/cubano-bros.mp4,success
Takito Holic,7.9,Phil ate the Taco Holic Birria,2023-12-20,8508 S Cicero Ave,Burbank,IL,41.7377732,-87.7413638,https://www.instagram.com/reel/C1FApWtLabF/,https://www.google.com/maps/search/?api=1&query=Takito%20Holic%2C%208508%20S%20Cicero%20Ave%2C%20Burbank%2C%20IL,https://www.google.com/maps/dir/?api=1&destination=8508%20S%20Cicero%20Ave%2C%20Burbank%2C%20IL%2060459%2C%20USA,structured-data,medium,,takito-holic,takito-holic.jpg,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/thumbnails/takito-holic.jpg,takito-holic.mp4,/Users/anthonylarosa/Desktop/SUPERGOODE-VIDEO-THUMBNAILS/videos/takito-holic.mp4,success
